"","City","Converged"
"1","akron",FALSE
"2","albany",FALSE
"3","albuquerque",FALSE
"4","anaheim",FALSE
"5","anchorage",FALSE
"6","ann arbor",FALSE
"7","antioch",FALSE
"8","arlington",FALSE
"9","atlanta",FALSE
"10","augusta",FALSE
"11","aurora",FALSE
"12","austin",FALSE
"13","bakersfield",FALSE
"14","baltimore",FALSE
"15","baton rouge",FALSE
"16","birmingham",FALSE
"17","bonita springs",FALSE
"18","boston",FALSE
"19","bremerton",FALSE
"20","brownsville",FALSE
"21","buffalo",FALSE
"22","cape coral",FALSE
"23","charleston",FALSE
"24","charlotte",FALSE
"25","chattanooga",FALSE
"26","chula vista",FALSE
"27","cleveland",TRUE
"28","columbus ga",FALSE
"29","concord",FALSE
"30","corpus christi",FALSE
"31","dallas",FALSE
"32","davenport",FALSE
"33","denver",FALSE
"34","des moines",FALSE
"35","detroit",FALSE
"36","durham",FALSE
"37","el paso",FALSE
"38","evansville",FALSE
"39","fayetteville",FALSE
"40","flint",FALSE
"41","fort wayne",FALSE
"42","fort worth",FALSE
"43","fremont",FALSE
"44","fresno",FALSE
"45","garland",FALSE
"46","glendale",FALSE
"47","grand rapids",FALSE
"48","greensboro",FALSE
"49","gulfport",FALSE
"50","huntsville",FALSE
"51","indio",FALSE
"52","irving",FALSE
"53","jackson",FALSE
"54","jacksonville",FALSE
"55","jersey city",FALSE
"56","kansas city",FALSE
"57","knoxville",FALSE
"58","lakeland",FALSE
"59","lansing",FALSE
"60","laredo",FALSE
"61","las vegas",FALSE
"62","lexington",FALSE
"63","lincoln",FALSE
"64","little rock",FALSE
"65","long beach",FALSE
"66","los angeles",FALSE
"67","louisville",TRUE
"68","lubbock",FALSE
"69","madison",TRUE
"70","mckinney",FALSE
"71","memphis",FALSE
"72","mesa",FALSE
"73","miami",FALSE
"74","milwaukee",FALSE
"75","minneapolis",FALSE
"76","mobile",FALSE
"77","modesto",FALSE
"78","murrieta",FALSE
"79","nashua",FALSE
"80","new orleans",FALSE
"81","newark",FALSE
"82","norfolk",FALSE
"83","oakland",FALSE
"84","ogden",FALSE
"85","oklahoma city",FALSE
"86","omaha",FALSE
"87","orlando",FALSE
"88","oxnard",FALSE
"89","philadelphia",FALSE
"90","phoenix",FALSE
"91","pittsburgh",FALSE
"92","plano",FALSE
"93","providence",FALSE
"94","provo",FALSE
"95","raleigh",FALSE
"96","reading",FALSE
"97","reno",FALSE
"98","richmond",FALSE
"99","riverside",FALSE
"100","rochester",FALSE
"101","rockford",FALSE
"102","sacramento",FALSE
"103","salem",FALSE
"104","salt lake city",FALSE
"105","san antonio",FALSE
"106","san bernardino",FALSE
"107","san diego",FALSE
"108","san francisco",FALSE
"109","san jose",FALSE
"110","santa ana",FALSE
"111","santa clara",FALSE
"112","santa rosa",FALSE
"113","savannah",FALSE
"114","seattle",FALSE
"115","shreveport",FALSE
"116","south bend",FALSE
"117","spokane",FALSE
"118","springfield ma",FALSE
"119","st paul",FALSE
"120","st petersburg",FALSE
"121","stockton",FALSE
"122","syracuse",FALSE
"123","tampa",FALSE
"124","toledo",FALSE
"125","trenton",FALSE
"126","tucson",FALSE
"127","tulsa",FALSE
"128","tuscaloosa",FALSE
"129","virginia beach",FALSE
"130","visalia",FALSE
"131","wichita",FALSE
"132","worcester",FALSE
"133","youngstown",FALSE
